"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0" "report-def-0(instantaneous values)")
193 -0.876083819289376 -0.8760565960207573
194 -0.8760634461025442 -0.8760681181153037
195 -0.8760811336473374 -0.8761186868059517
196 -0.8761171671870357 -0.8761646966398521
197 -0.8761825322613158 -0.876264213338144
198 -0.8762736473246945 -0.8763920319960877
199 -0.8763997865473286 -0.8765431143077548
200 -0.8765482349033534 -0.8767095584062184
201 -0.8767137560387788 -0.8768885954023633
202 -0.8768893214652315 -0.8770698105871126
203 -0.8770683492349995 -0.8772466417155229
204 -0.877241800997437 -0.8774089506896757
205 -0.8774063405403451 -0.877563429215837
206 -0.8775466012541534 -0.8776674238569481
207 -0.8776709068365007 -0.8777818674367177
208 -0.8777630537745612 -0.8778398700300186
209 -0.877838069740867 -0.8778924717558652
210 -0.8778767974338993 -0.8778980505158148
211 -0.8778933489577952 -0.8778895246017063
212 -0.8778786447262141 -0.8778483590611221
213 -0.8778439452791678 -0.8777939521746756
214 -0.8777882188589716 -0.8777223453411178
215 -0.8777234200849634 -0.8776539627390975
216 -0.8776465449441812 -0.8775633267523284
217 -0.8775602759678875 -0.8774635384122372
218 -0.8774615535617504 -0.8773577955206856
219 -0.8773578985590644 -0.8772523617442707
220 -0.877252968217384 -0.8771487473871959
221 -0.8771505581972132 -0.8770505654601733
222 -0.8770522502336545 -0.8769574378535941
223 -0.8769604924254789 -0.8768734739626688
224 -0.8768767649569007 -0.8767993830544387
225 -0.8768039339544095 -0.8767389448461205
226 -0.8767431985588802 -0.8766912677760812
227 -0.8766967822875165 -0.8766601342403478
228 -0.876665297231059 -0.8766444896767484
229 -0.8766505201097715 -0.876646936412219
230 -0.8766517469742442 -0.876663814833766
231 -0.8766687380468046 -0.8766954628944291
232 -0.8766991364054387 -0.8767381314881215
233 -0.8767422052678132 -0.8767930214208897
234 -0.876795297201029 -0.8768547386940762
235 -0.8768573844246778 -0.8769243931590677
236 -0.8769260621258742 -0.8769990545244788
237 -0.8770006116766581 -0.8770783873464278
238 -0.8770780361425281 -0.8771566665566778
239 -0.8771559060570772 -0.877232664268126
240 -0.8772325827119 -0.8773084173108964
241 -0.8773000351938558 -0.8773590240025451
242 -0.8773604606756432 -0.8774139407134883
243 -0.8774042128644931 -0.8774396738774461
244 -0.8774386905731199 -0.8774624571284251
245 -0.8774537498591192 -0.8774591185714862
246 -0.8774555827238508 -0.8774451724716412
247 -0.8774393604668175 -0.8774137903573249
248 -0.8774114780771418 -0.8773754714024589
249 -0.8773648434087956 -0.8773052684666025
250 -0.8773069117875325 -0.8772399954935359
251 -0.8772364354493902 -0.8771640423880321
252 -0.8771548904974118 -0.8770606336106671
253 -0.8770679935797517 -0.8769793047405559
254 -0.8769694582892131 -0.8768684365164162
255 -0.8768790343998667 -0.8767893619426279
256 -0.8767807130358928 -0.8766843406486343
257 -0.8766980105345773 -0.8766203290124697
258 -0.8766146845653147 -0.8765393840348401
259 -0.8765538760798223 -0.8765019151921567
260 -0.8765004426098059 -0.8764600286024207
261 -0.8764723564488013 -0.8764551255518265
262 -0.8764562786974907 -0.876453681938225
263 -0.8764611791063918 -0.8764747298291237
264 -0.8764773961848006 -0.8765037767870536
265 -0.876508146445469 -0.8765459327202305
266 -0.8765441705382347 -0.8765828021074209
267 -0.8765819414334924 -0.8766170894728265
268 -0.8766147424457564 -0.8766443357570224
269 -0.876642327216116 -0.8766655564184999
270 -0.8766622880251175 -0.8766769718998305
271 -0.8766740395121269 -0.8766795902180508
272 -0.8766743695952469 -0.87666654666786
273 -0.8766612128694188 -0.8766375017223458
274 -0.8766329651219001 -0.8765948469754952
275 -0.8765928730088833 -0.8765462703288094
276 -0.8765439908478211 -0.8764908552391589
277 -0.8764919453532419 -0.8764387104917573
278 -0.8764408541897365 -0.8763929968382933
279 -0.8763966412611305 -0.8763582164533406
280 -0.8763605537294312 -0.8763304478966598
281 -0.8763339864867737 -0.8763132951103209
282 -0.8763156146070313 -0.8763031008141132
283 -0.8763091072868269 -0.8763109259360464
284 -0.8763178777582965 -0.8763396065247295
285 -0.8763487725182105 -0.8763957850938554
286 -0.8764049165390174 -0.8764793579984664
287 -0.8764953929986102 -0.8766110359035078
288 -0.8766216944648401 -0.8767746894925452
289 -0.87678426112541 -0.8769670579801757
290 -0.876983726612937 -0.8772094323660887
291 -0.8772202651051794 -0.8774843049692719
292 -0.8774737805173424 -0.877727604216665
293 -0.8777569103172835 -0.8780588217659123
294 -0.8780282990424877 -0.8782984711448845
295 -0.8783217681455565 -0.878608011525871
296 -0.878573529958366 -0.8788141072043414
297 -0.8788257952284932 -0.879055266955266
298 -0.8790299507625304 -0.8792204781279824
299 -0.8792203692935502 -0.8793853627974006
300 -0.8793749629320868 -0.879519047870876
301 -0.8795113787858222 -0.8796297256891887
302 -0.8796208768397841 -0.8797138569592864
303 -0.8797063569338759 -0.8797754881531511
304 -0.8797667887608859 -0.8798110211702186
305 -0.879808150450295 -0.879837942027514
306 -0.8798229220391157 -0.8798198029196135
307 -0.8798141996849492 -0.8797848541077192
308 -0.8797819542361944 -0.8797412056812496
309 -0.8797338156728403 -0.8796753872295507
310 -0.8796665566909158 -0.8795830771619456
311 -0.879580098017961 -0.8794818296623852
312 -0.8794776067141846 -0.8793679133182216
313 -0.8793600235065665 -0.8792303275390912
314 -0.8792430655082873 -0.8791309556675476
315 -0.8791193391093195 -0.8789967341213182
316 -0.8790094198636704 -0.8789005698021441
317 -0.8788897847782914 -0.8787720504114107
318 -0.8787853739939534 -0.8786835017683043
319 -0.8786729279547435 -0.8785632316845138
320 -0.8785773677024604 -0.8784853696545617
321 -0.8784755234139351 -0.8783779689027283
322 -0.8783936864041401 -0.8783177206551286
323 -0.8783102068505128 -0.8782349309936798
324 -0.8782496584693312 -0.8781963237591833
325 -0.878191428989715 -0.8781430322162801
326 -0.8781554200988636 -0.8781269043211255
327 -0.8781259072447521 -0.8781077851968491
328 -0.8781135493402079 -0.8781059585026472
329 -0.8781109953291684 -0.878119242288007
330 -0.8781211947035077 -0.8781383833198674
331 -0.8781422705324573 -0.8781691859894959
332 -0.8781698780117133 -0.8782020647257749
333 -0.8782050641602983 -0.8782439417656221
334 -0.8782442549326374 -0.878286758306513
335 -0.8782890020326835 -0.8783363060259132
336 -0.8783351360364362 -0.8783823437768805
337 -0.8783798849056762 -0.8784210049142335
338 -0.8784255047002073 -0.8784731654095063
339 -0.8784683645442709 -0.8785109233090712
340 -0.8785151633960891 -0.8785614014696882
341 -0.8785548340095707 -0.878592177249951
342 -0.8785949731351526 -0.8786313406858168
343 -0.8786239348604011 -0.8786482866454335
344 -0.8786489379701518 -0.878667186579203
345 -0.8786629595726779 -0.8786734054933955
346 -0.8786683979434589 -0.8786646017577763
347 -0.8786618897753976 -0.8786476620750193
348 -0.8786428446199434 -0.8786162700270322
349 -0.8786143220786231 -0.8785790341338156
350 -0.8785750569291096 -0.8785298666264789
351 -0.8785288529349263 -0.8784776580444824
352 -0.8784746146514061 -0.8784163192832548
353 -0.8784164508366876 -0.8783553751823233
354 -0.8783534546659499 -0.8782886695322694
355 -0.8782896789208413 -0.8782249920479291
356 -0.8782240796553329 -0.8781585773857984
357 -0.878160718766653 -0.8780985868662297
358 -0.878098780071666 -0.8780391759629682
359 -0.8780422324555245 -0.877988934537374
360 -0.877989953096909 -0.8779417487903833
361 -0.8779456191028299 -0.8779061739807309
362 -0.8779100872738366 -0.8778823390503939
363 -0.877881850998668 -0.8778570399648777
364 -0.8778607838182078 -0.8778429724393503
365 -0.8778475936597258 -0.877842768574948
366 -0.8778415993357123 -0.8778390569928374
367 -0.8778437700815774 -0.8778494846769456
368 -0.8778507182766253 -0.8778636131600914
369 -0.877866844840424 -0.8778874366842334
370 -0.8778880092999318 -0.8779129780554689
371 -0.8779155220889526 -0.8779461515271538
372 -0.8779459736254346 -0.8779787912936797
373 -0.877980500803767 -0.8780165595904662
374 -0.8780154995759967 -0.8780511478438431
375 -0.8780522163497292 -0.8780889416148773
376 -0.8780872843898407 -0.8781217637108005
377 -0.8781223490167246 -0.8781563417244947
378 -0.8781542716179884 -0.8781847094186689
379 -0.8781848515053762 -0.8782135033729639
380 -0.8782111306271574 -0.8782351790898384
381 -0.8782350275899705 -0.8782564003071084
382 -0.8782539507100414 -0.8782702727331765
383 -0.8782702611772436 -0.8782841104914447
384 -0.8782819902609447 -0.8782915875582115
385 -0.8782920370862465 -0.878300413209082
386 -0.8782981748436985 -0.8783025237638011
387 -0.8783032743264978 -0.878306886006609
388 -0.8783062897813104 -0.8783094595735197
389 -0.8783101682391322 -0.8783141591372662
390 -0.8783129581408756 -0.8783152557118392
391 -0.8783161658900713 -0.8783190828211073
392 -0.8783179981815964 -0.8783196560118411
393 -0.8783208345525603 -0.8783237648247304
394 -0.8783224823209866 -0.8783240261263867
395 -0.8783252374114109 -0.8783279212831137
396 -0.8783266769173842 -0.8783280833426498
397 -0.8783293133934548 -0.8783319355545982
398 -0.8783306670748043 -0.8783319823271623
399 -0.8783331949317302 -0.8783356669134276
400 -0.878334441016294 -0.8783356738082894
401 -0.8783368402414681 -0.8783391800026847
402 -0.8783378329625021 -0.8783386450765294
403 -0.8783396583201036 -0.8783411498810942
404 -0.8783396860555559 -0.8783392632090418
405 -0.8783393869855854 -0.8783377478666181
406 -0.8783378193769286 -0.8783364470551229
407 -0.8783362939996403 -0.878334687077177
408 -0.8783337997997097 -0.8783302652668261
409 -0.8783299399988994 -0.8783248676526915
410 -0.8783242993457137 -0.8783177651176201
411 -0.878317653305755 -0.8783103271469498
412 -0.8783098086278956 -0.8783013336191136
413 -0.8783021501147691 -0.8782947895782401
414 -0.8782932332907953 -0.8782835766750288
415 -0.8782848188475723 -0.8782760902894442
416 -0.8782750248117385 -0.8782654074707389
417 -0.878266975409395 -0.8782594284679983
418 -0.8782585917849085 -0.8782509394159848
419 -0.8782526274923549 -0.8782475145930779
420 -0.8782467413924757 -0.8782417701683607
421 -0.8782434799846284 -0.8782411551924425
422 -0.8782404692789934 -0.8782384824761729
423 -0.878240256794192 -0.8782411327139569
424 -0.8782404786608035 -0.878241820792277
425 -0.8782436077563817 -0.8782478697629076
426 -0.8782477013662645 -0.8782534135436049
427 -0.8782541397607355 -0.87826113597569
428 -0.8782603422792308 -0.8782664773183932
429 -0.8782686332006389 -0.8782782863078293
430 -0.8782766426484799 -0.8782851643192133
431 -0.8782867530609711 -0.8782968085558667
432 -0.8782957808281043 -0.8783053696092287
433 -0.878305434145814 -0.8783141242723422
434 -0.8783134120377305 -0.878320742231616
435 -0.878321267616481 -0.8783289363454799
436 -0.8783271165552212 -0.878331671088563
437 -0.878332266103855 -0.8783361908775175
438 -0.8783342911257587 -0.878335011411191
439 -0.8783355663745119 -0.8783354968348229
440 -0.8783335423457467 -0.8783301187912218
441 -0.8783307003149009 -0.8783264853186534
442 -0.878324592979873 -0.8783171748297389
